mirnaid	genesymbol
hsa-miR-1827	ZSCAN29
hsa-miR-1827	TFDP2
hsa-miR-1827	TFDP2
hsa-miR-1827	MAP4
hsa-miR-1827	ECE1
hsa-miR-1827	CLCN5
hsa-miR-1827	CYP51A1
hsa-miR-1827	MXRA7
hsa-miR-1827	PLEKHG5
hsa-miR-1827	MIDEAS
hsa-miR-1827	TPM3
hsa-miR-1827	TPM3
hsa-miR-1827	TPM3
hsa-miR-1827	SLC25A45
hsa-miR-1827	ARSA
hsa-miR-1827	CENPN
hsa-miR-1827	IQSEC2
hsa-miR-1827	TASOR
hsa-miR-1827	ECE1
hsa-miR-1827	SH3BP2
